Item no,Outlook,Temp,Humidity,Windy,Play
1,Sunny,Hot,High,FALSE,No
2,Sunny,Hot,High,TRUE,No
3,Overcast,Hot,High,FALSE,Yes
4,Rainy,Mild,High,FALSE,Yes
5,Rainy,Cool,Normal,FALSE,Yes
6,Rainy,Cool,Normal,TRUE,No
7,Overcast,Cool,Normal,TRUE,Yes
8,Sunny,Mild,High,FALSE,No
9,Sunny,Cool,Normal,FALSE,Yes
10,Rainy,Mild,Normal,FALSE,Yes
11,Sunny,Mild,Normal,TRUE,Yes
12,Overcast,Mild,High,TRUE,Yes
13,Overcast,Hot,Normal,FALSE,Yes
14,Rainy,Mild,High,TRUE,No
15,Sunny,Hot,High,FALSE,No
16,Sunny,Hot,High,TRUE,No
17,Overcast,Hot,High,FALSE,Yes
18,Rainy,Mild,High,FALSE,Yes
19,Rainy,Cool,Normal,FALSE,Yes
20,Rainy,Cool,Normal,TRUE,No
21,Overcast,Cool,Normal,TRUE,Yes
22,Sunny,Mild,High,FALSE,No
23,Sunny,Cool,Normal,FALSE,Yes
24,Rainy,Mild,Normal,FALSE,Yes
25,Sunny,Mild,Normal,TRUE,Yes
26,Overcast,Mild,High,TRUE,Yes
27,Overcast,Hot,Normal,FALSE,Yes
28,Rainy,Mild,High,TRUE,No
